BKIndex;Flag;FKS;AP;BGrp;BFeld;Sortierung;Status;Beschreibung;Beschreibung_W;geaendert;Beschreibung_MW;BAKLALT;BAGRALT;BAKL;BAGR;Ebene1;Ebene2;Ebene3;Flag_APOBK
10;1;521;04;T;MT;10;********************;Karosserie- und Fahrzeugbaumechaniker - Karosserie- und Fahrzeugbautechnik;Karosserie- und Fahrzeugbaumechanikerin - Karosserie- und Fahrzeugbautechnik;2015-04-15 11:11:08;Karosserie- und Fahrzeugbaumechaniker/-in - Karosserie- und Fahrzeugbautechnik;**;****;*****;2521227;TN;**;A4;1
210;1;148;19;W;WI;440;********************;FS Wirtschaft/Betriebswirtschaft - Marketing-Kommunikation;FS Wirtschaft/Betriebswirtschaft - Marketing-Kommunikation;2014-07-07 10:15:07;FS Wirtschaft/Betriebswirtschaft - Marketing-Kommunikation;**;****;*****;9211302;WI;BW;MK;1
10;1;491;01;O;OH;10;********************;Zupfinstrumentenmacher - Gitarrenbau;Zupfinstrumentenmacherin - Gitarrenbau;2016-03-15 15:53:07;Zupfinstrumentenmacher/-in - Gitarrenbau;**;****;*****;9369309;OZ;**;A3;1
10;1;491;02;O;OH;10;********************;Zupfinstrumentenmacher - Harfenbau;Zupfinstrumentenmacherin - Harfenbau;2016-03-15 15:53:10;Zupfinstrumentenmacher/-in - Harfenbau;**;****;*****;9369310;OZ;**;A3;1
10;1;889;00;O;OH;30;********************;Fachpraktiker Service in sozialen Einrichtungen;Fachpraktikerin Service in sozialen Einrichtungen;2014-12-01 12:31:11;Fachpraktiker/-in Service in sozialen Einrichtungen;**;****;*****;8321206;TN;**;MB;1
10;1;890;00;O;OH;30;********************;Fachpraktiker im Lagerbereich;Fachpraktikerin im Lagerbereich;2014-12-01 12:31:13;Fachpraktiker/in im Lagerbereich;**;****;*****;5131210;WV;**;MB;1
10;1;891;00;O;OH;30;********************;Fachpraktiker Hauswirtschaft;Fachpraktikerin Hauswirtschaft;2014-12-01 12:35:39;Fachpraktiker/-in Hauswirtschaft;**;****;*****;8321206;EH;**;MB;1
90;3;141;00;O;OH;210;Ausgelaufen;Uhrmacher;Uhrmacherin;2020-04-02 21:52:32;Uhrmacher/-in;**;****;*****;2453201;**;**;**;3
210;1;148;21;W;WI;440;Schulversuch;FS Wirtschaft/Betriebswirtschaft - Medien- und Eventmanagement;FS Wirtschaft/Betriebswirtschaft - Medien- und Eventmanagement;2016-01-29 16:59:39;FS Wirtschaft/Betriebswirtschaft - Medien- und Eventmanagement;**;****;*****;6340301;WI;BW;ME;2
10;1;892;00;*;**;30;********************;Fachpraktiker für Möbel-, Küchen- und Umzugsservice;Fachpraktikerin für Möbel-, Küchen- und Umzugsservice;2016-01-29 15:35:47;Fachpraktiker/-in für Möbel-, Küchen- und Umzugsservice;**;****;*****;2234212;TN;**;MB;1
57;1;110;00;*;**;145;********************;Fit für mehr;Fit für mehr;2018-03-07 12:48:19;Fit für mehr;**;****;99;********;OZ;**;**;2
210;1;173;03;*;**;440;********************;FS Informatik/Technische Informatik - Computer- und Kommunikationstechnik;FS Informatik/Technische Informatik - Computer- und Kommunikationstechnik;2016-01-29 16:57:35;FS Informatik/Technische Informatik - Computer- und Kommunikationstechnik;**;****;*****;4312301;IF;TI;CK;2
210;1;173;04;*;**;440;********************;FS Informatik/Technische Informatik - CNC-Systemtechnik;FS Informatik/Technische Informatik - CNC-Systemtechnik;2016-01-29 16:57:53;FS Informatik/Technische Informatik - CNC-Systemtechnik;**;****;*****;4312301;IF;TI;CS;2
56;3;177;02;*;**;143;Auslaufend;Elektroniker für Betriebstechnik;Elektronikerin für Betriebstechnik;2020-04-08 15:07:10;Elektroniker/-in für Betriebstechnik;**;****;*****;2625202;TN;**;**;2
56;3;177;05;*;**;143;Auslaufend;Elektroniker für Geräte und Systeme;Elektronikerin für Geräte und Systeme;2020-04-08 15:07:06;Elektroniker/-in für Geräte und Systeme;**;****;*****;2631210;TN;**;**;2
10;3;538;00;T;TB;10;********************;Änderungsschneider;Änderungsschneiderin;2020-04-02 21:31:55;Änderungsschneider/-in;35;3516;*****;2822202;GT;**;A2;1
10;1;101;00;T;MT;10;********************;Anlagenmechaniker;Anlagenmechanikerin;2017-06-13 16:22:56;Anlagenmechaniker/-in;25;2500;*****;3434201;TN;**;A4;1
10;1;101;01;T;MT;10;Ausgelaufen;Anlagenmechaniker - Apparatetechnik;Anlagenmechanikerin - Apparatetechnik;2017-06-13 15:55:32;Anlagenmechaniker/-in - Apparatetechnik;25;2520;*****;3434201;**;**;**;1
10;1;101;04;T;MT;10;********************;Anlagenmechaniker - Sanitär-, Heizungs- und Klimatechnik;Anlagenmechanikerin - Sanitär-, Heizungs- und Klimatechnik;2020-05-19 07:08:14;Anlagenmechaniker/-in - Sanitär-, Heizungs- und Klimatechnik;26;2649;*****;3421201;TN;**;A3;1
10;3;101;02;T;MT;10;Ausgelaufen;Anlagenmechaniker - Schweißtechnik;Anlagenmechanikerin - Schweißtechnik;2015-11-26 08:20:51;Anlagenmechaniker/-in - Schweißtechnik;25;2500;*****;3434201;**;**;**;1
10;3;101;03;T;MT;10;Ausgelaufen;Anlagenmechaniker - Versorgungstechnik;Anlagenmechanikerin - Versorgungstechnik;2015-11-26 11:37:25;Anlagenmechaniker/-in - Versorgungstechnik;26;2640;*****;3434201;**;**;**;1
10;3;102;00;O;OH;10;Ausgelaufen;Arzthelfer;Arzthelferin;2015-11-26 14:29:29;Arzthelfer/-in;85;8561;*****;8110202;**;**;**;1
10;1;103;00;O;OH;10;********************;Asphaltbauer;Asphaltbauerin;2006-01-13 10:06:46;Asphaltbauer/-in;48;4826;*****;3222201;TN;**;A3;1
10;3;104;00;W;WV;10;Ausgelaufen;Assistent an Bibliotheken;Assistentin an Bibliotheken;2015-11-26 14:29:11;Assistent/-in an Bibliotheken;82;8232;*****;7332202;**;**;**;1
10;3;105;00;O;OH;10;Ausgelaufen;Aufbereitungsmechaniker;Aufbereitungsmechanikerin;2013-01-22 09:21:02;Aufbereitungsmechaniker/-in;08;0805;*****;2121202;**;**;**;1
10;1;105;05;O;OH;10;********************;Aufbereitungsmechaniker - Braunkohle;Aufbereitungsmechanikerin - Braunkohle;2006-01-13 10:10:39;Aufbereitungsmechaniker/-in - Braunkohle;08;0805;*****;2121203;TN;**;A3;1
10;1;105;02;O;OH;10;********************;Aufbereitungsmechaniker - feuerfeste und keramische Rohstoffe;Aufbereitungsmechanikerin - feuerfeste und keramische Rohstoffe;2006-01-13 10:10:42;Aufbereitungsmechaniker/-in - feuerfeste und keramische Rohstoffe;08;0805;*****;2121204;TN;**;A3;1
56;3;217;00;*;**;143;Auslaufend;Florist;Floristin;2020-04-08 15:07:17;Florist/-in;**;****;*****;1220201;GT;**;**;2
56;3;228;00;*;**;143;Auslaufend;Friseur;Friseurin;2020-04-08 15:07:33;Friseur/-in;**;****;*****;8231201;GE;**;**;2
56;3;242;02;*;**;143;Auslaufend;Glaser - Verglasung und Glasbau;Glaserin - Verglasung und Glasbau;2020-04-08 15:07:36;Glaser/-in - Verglasung und Glasbau;**;****;*****;3334203;TN;**;**;2
56;3;248;01;*;**;143;Auslaufend;Glasveredler - Schliff und Gravur;Glasveredlerin - Schliff und Gravur;2020-04-08 15:07:43;Glasveredler/-in - Schliff und Gravur;**;****;*****;2134206;TN;**;**;2
56;3;248;02;*;**;143;Auslaufend;Glasveredler - Glasmalerei und Kunstverglasung;Glasveredlerin - Glasmalerei und Kunstverglasung;2020-04-08 15:07:40;Glasveredler/-in - Glasmalerei und Kunstverglasung;**;****;*****;2134204;TN;**;**;2
56;3;248;03;*;**;143;Auslaufend;Glasveredler - Kanten- und Flächenveredlung;Glasveredlerin - Kanten- und Flächenveredlung;2020-04-08 15:07:38;Glasveredler/-in - Kanten- und Flächenveredlung;**;****;*****;2134205;TN;**;**;2
56;3;257;00;*;**;143;Auslaufend;Hauswirtschafter;Hauswirtschafterin;2020-04-08 15:07:45;Hauswirtschafter/-in;**;****;*****;8321203;EV;**;**;2
56;3;276;00;*;**;143;Auslaufend;Industriemechaniker;Industriemechanikerin;2020-04-08 15:07:46;Industriemechaniker/-in;**;****;*****;2510204;TN;**;**;2
56;3;279;00;*;**;143;Auslaufend;Informations- und Telekommunikationssystemelektroniker;Informations- und Telekommunikationssystemelektronikerin;2020-04-08 15:07:48;Informations- und Telekommunikationssystemelektroniker/-in;**;****;*****;2631223;TN;**;**;2
56;3;335;00;*;**;143;Auslaufend;Mechatroniker;Mechatronikerin;2020-04-08 15:07:50;Mechatroniker/-in;**;****;*****;2611201;TN;**;**;2
56;3;339;03;*;**;143;Auslaufend;Metallbauer - Konstruktionstechnik;Metallbauerin - Konstruktionstechnik;2020-04-08 15:07:52;Metallbauer/-in - Konstruktionstechnik;**;****;*****;2441209;TN;**;**;2
56;3;456;00;*;**;143;Auslaufend;Uhrmacher;Uhrmacherin;2020-04-08 15:07:54;Uhrmacher/-in;**;****;*****;2453201;TN;**;**;2
56;3;463;00;*;**;143;Auslaufend;Verkäufer;Verkäuferin;2020-04-08 15:07:55;Verkäufer/-in;**;****;*****;6210205;WV;**;**;2
56;3;482;00;*;**;143;Auslaufend;Werkzeugmechaniker;Werkzeugmechanikerin;2020-04-08 15:07:57;Werkzeugmechaniker/-in;**;****;*****;2452205;TN;**;**;2
56;3;487;00;*;**;143;Auslaufend;Zerspanungsmechaniker;Zerspanungsmechanikerin;2020-04-08 15:07:59;Zerspanungsmechaniker/-in;**;****;*****;2423225;TN;**;**;2
56;3;515;00;*;**;143;Auslaufend;Kosmetiker;Kosmetikerin;2020-04-08 15:08:00;Kosmetiker/-in;**;****;*****;8232201;GE;**;**;2
56;3;528;00;*;**;143;Auslaufend;Fachlagerist;Fachlageristin;2020-04-08 15:08:03;Fachlagerist/-in;**;****;*****;5131205;WV;**;**;2
56;3;531;00;*;**;143;Auslaufend;Maschinen- und Anlagenführer;Maschinen- und Anlagenführerin;2020-04-08 15:08:06;Maschinen- und Anlagenführer/-in;**;****;*****;2512201;TN;**;**;2
56;3;532;00;*;**;143;Auslaufend;Maßschneider;Maßschneiderin;2020-04-08 15:08:08;Maßschneider/-in;**;****;*****;2822214;TN;**;**;2
56;3;538;00;*;**;143;Auslaufend;Änderungsschneider;Änderungsschneiderin;2020-04-08 15:08:10;Änderungsschneider/-in;**;****;*****;2822202;TN;**;**;2
56;3;541;00;*;**;143;Auslaufend;Oberflächenbeschichter;Oberflächenbeschichterin;2020-04-08 15:08:12;Oberflächenbeschichter/-in;**;****;*****;2430203;TN;**;**;2
56;3;607;00;*;**;143;Auslaufend;Kaufmann für Büromanagement;Kauffrau für Büromanagement;2020-04-08 15:08:15;Kaufmann/-frau für Büromanagement;**;****;*****;7140222;WV;**;**;2
56;3;999;00;*;**;144;noch ohne Schlüssel;Sonstiger Bildungsgang;Sonstiger Bildungsgang;2016-02-01 11:54:32;Sonstiger Bildungsgang;**;****;*****;********;XX;XX;XX;2
93;1;101;00;*;**;225;********************;Assistent für Ernährung und Versorgung - Service;Assistentin für Ernährung und Versorgung - Service;2019-04-25 11:40:49;Assistent/-in für Ernährung und Versorgung - Service;**;****;*****;8321102;EV;EV;SV;2
93;1;102;00;*;**;225;********************;Kinderpfleger;Kinderpflegerin;2016-01-29 16:25:45;Kinderpfleger/-in;**;****;*****;8311205;GE;KI;**;2
93;1;103;00;*;**;225;********************;Sozialassistent;Sozialassistentin;2016-01-29 16:25:47;Sozialassistent/-in;**;****;*****;8314205;GE;SA;**;2
93;1;103;01;*;**;225;********************;Sozialassistent - Heilerziehung;Sozialassistentin - Heilerziehung;2016-01-29 16:25:48;Sozialassistent/-in - Heilerziehung;**;****;*****;8313101;GE;SH;HE;2
93;4;999;00;*;**;226;noch ohne Schlüssel;Sonstiger Bildungsgang;Sonstiger Bildungsgang;2016-03-16 15:10:32;Sonstiger Bildungsgang;**;****;*****;********;XX;XX;XX;2
57;1;101;00;*;**;145;********************;Agrarwirtschaft;Agrarwirtschaft;2016-01-29 15:59:25;Agrarwirtschaft;**;****;11;********;AW;**;**;2
57;1;102;00;*;**;145;********************;Ernährungs- und Versorgungsmanagement;Ernährungs- und Versorgungsmanagement;2016-01-29 15:59:28;Ernährungs- und Versorgungsmanagement;**;****;83;********;EV;**;**;2
57;1;103;01;*;**;145;********************;Farbtechnik und Raumgestaltung;Farbtechnik und Raumgestaltung;2016-01-29 15:59:29;Farbtechnik und Raumgestaltung;**;****;33;********;GT;FR;**;2
57;1;103;02;*;**;145;********************;Medien/Medientechnologie;Medien/Medientechnologie;2016-01-29 15:59:31;Medien/Medientechnologie;**;****;23;********;GT;MM;**;2
57;1;104;01;*;**;145;********************;Gesundheitswesen;Gesundheitswesen;2016-01-29 15:59:33;Gesundheitswesen;**;****;82;********;GE;GW;**;2
57;1;104;02;*;**;145;********************;Sozialwesen;Sozialwesen;2016-01-29 15:59:35;Sozialwesen;**;****;83;********;GE;SW;**;2
57;1;104;03;*;**;145;********************;Körperpflege;Körperpflege;2016-01-29 15:59:37;Körperpflege;**;****;82;********;GE;KP;**;2
57;1;105;00;*;**;145;********************;Informatik;Informatik;2016-01-29 15:59:39;Informatik;**;****;43;********;IF;**;**;2
57;1;106;01;*;**;145;********************;Bau und Holztechnik;Bau und Holztechnik;2016-01-29 15:59:41;Bau und Holztechnik;**;****;32;********;TN;BH;**;2
57;1;106;02;*;**;145;********************;Drucktechnik;Drucktechnik;2016-01-29 15:59:43;Drucktechnik;**;****;23;********;TN;DT;**;2
57;1;106;03;*;**;145;********************;Elektrotechnik;Elektrotechnik;2016-01-29 15:59:45;Elektrotechnik;**;****;26;********;TN;ET;**;2
57;1;106;04;*;**;145;********************;Fahrzeugtechnik;Fahrzeugtechnik;2016-01-29 15:59:51;Fahrzeugtechnik;**;****;71;********;TN;FT;**;2
57;1;106;05;*;**;145;********************;Medizintechnik;Medizintechnik;2016-01-29 15:59:49;Medizintechnik;**;****;82;********;TN;MD;**;2
57;1;106;06;*;**;145;********************;Metalltechnik;Metalltechnik;2016-01-29 15:59:54;Metalltechnik;**;****;24;********;TN;ME;**;2
57;1;106;07;*;**;145;********************;Physik/Chemie/Biologie;Physik/Chemie/Biologie;2016-01-29 15:59:56;Physik/Chemie/Biologie;**;****;41;********;TN;PC;**;2
57;1;106;08;*;**;145;********************;Textiltechnik und Bekleidung;Textiltechnik und Bekleidung;2016-01-29 16:00:23;Textiltechnik und Bekleidung;**;****;28;********;TN;TB;**;2
57;1;107;00;*;**;145;********************;Wirtschaft und Verwaltung;Wirtschaft und Verwaltung;2016-01-29 16:00:00;Wirtschaft und Verwaltung;**;****;71;********;WV;**;**;2
57;1;108;01;*;**;146;********************;Praktikanten/ Praktikantinnen mit Förderverträgen - Elektrotechnik;Praktikantinnen mit Förderverträgen - Elektrotechnik;2017-01-02 16:21:14;Praktikanten/ Praktikantinnen mit Förderverträgen - Elektrotechnik;**;****;26;********;TN;ET;PF;2
57;1;108;02;*;**;146;********************;Praktikanten/ Praktikantinnen mit Förderverträgen - Metalltechnik;Praktikantinnen mit Förderverträgen - Metalltechnik;2017-01-02 16:21:48;Praktikanten/ Praktikantinnen mit Förderverträgen - Metalltechnik;**;****;24;********;TN;ME;PF;2
57;4;999;00;*;**;147;noch ohne Schlüssel;Sonstiger Bildungsgang;Sonstiger Bildungsgang;2018-12-12 15:49:32;Sonstiger Bildungsgang;**;****;*****;********;XX;XX;XX;2
91;1;101;00;*;**;221;********************;Agrarwirtschaft;Agrarwirtschaft;2016-01-29 16:24:01;Agrarwirtschaft;**;****;11;********;AW;**;**;2
91;1;102;00;*;**;221;********************;Ernährungs- und Versorgungsmanagement;Ernährungs- und Versorgungsmanagement;2016-01-29 16:24:03;Ernährungs- und Versorgungsmanagement;**;****;83;********;EV;**;**;2
91;1;103;01;*;**;221;********************;Farbtechnik und Raumgestaltung;Farbtechnik und Raumgestaltung;2016-01-29 16:24:05;Farbtechnik und Raumgestaltung;**;****;33;********;GT;FR;**;2
91;1;103;02;*;**;221;********************;Medien/Medientechnologie;Medien/Medientechnologie;2016-01-29 16:24:06;Medien/Medientechnologie;**;****;23;********;GT;MM;**;2
91;1;104;01;*;**;221;********************;Gesundheitswesen;Gesundheitswesen;2016-01-29 16:24:08;Gesundheitswesen;**;****;82;********;GE;GW;**;2
91;1;104;02;*;**;221;********************;Sozialwesen;Sozialwesen;2016-01-29 16:24:10;Sozialwesen;**;****;83;********;GE;SW;**;2
91;1;104;03;*;**;221;********************;Körperpflege;Körperpflege;2016-01-29 16:24:12;Körperpflege;**;****;82;********;GE;KP;**;2
91;1;105;00;*;**;221;********************;Informatik;Informatik;2016-01-29 16:24:14;Informatik;**;****;43;********;IF;**;**;2
91;1;106;09;*;**;221;********************;Informations- und Telekommunikationstechnik;Informations- und Telekommunikationstechnik;2016-01-29 16:24:32;Informations- und Telekommunikationstechnik;**;****;43;********;TN;IT;**;2
91;1;106;01;*;**;221;********************;Bau und Holztechnik;Bau und Holztechnik;2016-01-29 16:24:16;Bau und Holztechnik;**;****;32;********;TN;BH;**;2
10;3;115;03;T;BT;10;Ausgelaufen;Baustoffprüfer - Bituminöse Massen;Baustoffprüferin - Bituminöse Massen;2013-01-22 09:21:54;Baustoffprüfer/-in - Bituminöse Massen;63;6336;*****;********;**;**;**;1
10;3;115;01;T;BT;10;Ausgelaufen;Baustoffprüfer - Boden;Baustoffprüferin - Boden;2013-01-22 09:22:06;Baustoffprüfer/-in - Boden;63;6336;*****;********;**;**;**;1
10;3;115;02;T;BT;10;Ausgelaufen;Baustoffprüfer - Mörtel und Boden;Baustoffprüferin - Mörtel und Boden;2013-01-22 09:22:15;Baustoffprüfer/-in - Mörtel und Boden;63;6336;*****;********;**;**;**;1
10;1;525;00;G;FR;10;********************;Bauten- und Objektbeschichter;Bauten- und Objektbeschichterin;2006-01-13 10:18:07;Bauten- und Objektbeschichter/-in;51;5110;*****;3321202;TN;**;A3;1
10;1;116;00;T;BT;10;********************;Bauwerksabdichter;Bauwerksabdichterin;2006-01-13 10:18:13;Bauwerksabdichter/-in;48;4825;*****;3323201;TN;**;A3;1
10;1;526;00;T;BT;10;********************;Bauwerksmechaniker für Abbruch und Betontrenntechnik;Bauwerksmechanikerin für Abbruch und Betontrenntechnik;2006-10-10 14:00:13;Bauwerksmechaniker/-in für Abbruch und Betontrenntechnik;44;4401;*****;3217201;TN;**;A3;1
10;1;117;00;T;BT;10;********************;Bauzeichner;Bauzeichnerin;2006-07-25 13:54:44;Bauzeichner/-in;64;6420;*****;2721201;TN;**;A3;1
10;3;117;01;T;BT;10;Ausgelaufen;Bauzeichner - Architektur;Bauzeichnerin - Architektur;2013-01-22 09:22:24;Bauzeichner/-in - Architektur;64;6420;*****;********;**;**;**;1
10;3;117;02;T;BT;10;Ausgelaufen;Bauzeichner - Ingenieurbau;Bauzeichnerin - Ingenieurbau;2013-01-22 09:22:34;Bauzeichner/-in - Ingenieurbau;64;6420;*****;********;**;**;**;1
10;3;117;03;T;BT;10;Ausgelaufen;Bauzeichner - Tief-, Straßen- u. Landschaftsbau;Bauzeichnerin Tief-, Straßen- u. Landschaftsbau;2013-01-22 09:22:45;Bauzeichner/-in - Tief-, Straßen- u. Landschaftsbau;64;6420;*****;********;**;**;**;1
10;1;118;00;T;MT;10;********************;Behälter- und Apparatebauer;Behälter- und Apparatebauerin;2006-01-13 10:22:30;Behälter- und Apparatebauer/-in;25;2520;*****;3434203;TN;**;A4;1
10;3;119;00;T;TB;10;Ausgelaufen;Bekleidungsfertiger;Bekleidungsfertigerin;2015-11-26 11:10:50;Bekleidungsfertiger/-in;35;3522;*****;2822215;**;**;**;1
10;3;120;00;T;TB;10;Ausgelaufen;Bekleidungsnäher;Bekleidungsnäherin;2015-11-26 11:11:08;Bekleidungsnäher/-in;35;3522;*****;2822215;**;**;**;1
10;3;121;00;T;TB;10;Ausgelaufen;Bekleidungsschneider;Bekleidungsschneiderin;2015-11-26 11:11:22;Bekleidungsschneider/-in;35;3511;*****;2822216;**;**;**;1
10;1;122;01;O;OH;10;********************;Berg- und Maschinenmann - Transport und Instandhaltung;Berg- und Maschinenfrau - Transport und Instandhaltung;2006-01-13 10:24:06;Berg- und Maschinenmann/-frau - Transport- und Instandhaltung;07;0702;*****;2111202;OZ;**;A2;1
10;1;122;02;O;OH;10;********************;Berg- und Maschinenmann - Vortrieb und Gewinnung;Berg- und Maschinenfrau - Vortrieb und Gewinnung;2006-01-13 10:24:12;Berg- und Maschinenmann/-frau - Vortrieb und Gewinnung;07;0702;*****;2111203;OZ;**;A2;1
10;1;585;01;T;MT;10;********************;Bergbautechnologe - Tiefbautechnik;Bergbautechnologin -Tiefbautechnik;2009-09-07 10:12:53;Bergbautechnologe/-technologin - Tiefbautechnik;07;0701;*****;2111205;TN;**;A3;1
10;1;585;02;T;MT;10;********************;Bergbautechnologe - Tiefbohrtechnik;Bergbautechnologin -Tiefbohrtechnik;2009-09-07 10:13:37;Bergbautechnologe/-technologin - Tiefbohrtechnik;07;0701;*****;2111206;TN;**;A3;1
10;3;123;00;T;MT;10;Ausgelaufen;Bergmechaniker;Bergmechanikerin;2015-11-25 10:00:20;Bergmechaniker/-in;07;0701;*****;2111204;**;**;**;1
10;3;124;00;O;OH;10;Ausgelaufen;Bergvermessungstechniker;Bergvermessungstechnikerin;2015-11-26 11:21:30;Bergvermessungstechniker/-in;62;6246;*****;3121204;**;**;**;1
10;1;125;00;O;OH;10;********************;Berufskraftfahrer;Berufskraftfahrerin;2006-01-13 10:24:36;Berufskraftfahrer/-in;71;7140;*****;5212201;TN;**;A3;1
10;3;125;01;O;OH;10;Ausgelaufen;Berufskraftfahrer - Güterverkehr;Berufskraftfahrerin - Güterverkehr;2013-01-22 09:23:35;Berufskraftfahrer/-in - Güterverkehr;71;7144;*****;********;**;**;**;1
10;3;125;02;O;OH;10;Ausgelaufen;Berufskraftfahrer - Personenverkehr;Berufskraftfahrerin - Personenverkehr;2013-01-22 09:23:51;Berufskraftfahrer/-in - Personenverkehr;71;7143;*****;********;**;**;**;1
10;1;512;00;O;OH;10;********************;Bestattungsfachkraft;Bestattungsfachkraft;2006-01-13 10:26:04;Bestattungsfachkraft;80;8055;*****;8240201;WV;**;A3;1
10;1;126;00;T;BT;10;********************;Beton- und Stahlbetonbauer;Beton- und Stahlbetonbauerin;2006-01-13 10:26:17;Beton- und Stahlbetonbauer/-in;44;4420;*****;3211201;TN;**;A3;1
10;1;127;00;O;OH;10;********************;Betonfertigteilbauer;Betonfertigteilbauerin;2006-01-13 10:26:23;Betonfertigteilbauer/-in;11;1121;*****;2122201;TN;**;A3;1
10;3;128;00;T;BT;10;Ausgelaufen;Betonstein- u. Terrazzohersteller;Betonstein- u. Terrazzoherstellerin;2013-01-22 09:24:01;Betonstein- u. Terrazzohersteller/-in;11;1121;*****;2122202;**;**;**;1
10;1;129;00;O;OH;10;********************;Binnenschiffer;Binnenschifferin;2006-01-13 10:26:34;Binnenschiffer/-in;72;7240;*****;5242201;TN;**;A3;1
10;1;130;00;T;CP;10;********************;Biologielaborant;Biologielaborantin;2006-01-13 10:26:40;Biologielaborant/-in;63;6311;*****;4121201;TN;**;A4;1
